CVE-2022-0563	pkg:deb/debian/uuid-runtime@2.38.1-5%2Bdeb12u3?arch=amd64&distro=debian-12&package-id=9cb935fafd01439f&upstream=util-linux
CVE-2022-1210	pkg:deb/debian/libtiff6@4.5.0-6%2Bdeb12u3?arch=amd64&distro=debian-12&package-id=017939ea1216b685&upstream=tiff
CVE-2022-27943	pkg:deb/debian/cpp-12@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=411b8392b99d579e&upstream=gcc-12
CVE-2022-27943	pkg:deb/debian/g%2B%2B-12@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=d4746f84a0e9d007&upstream=gcc-12
CVE-2022-27943	pkg:deb/debian/gcc-12-base@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=5dd3e15c0db94758&upstream=gcc-12
CVE-2022-27943	pkg:deb/debian/gcc-12@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=b84cfde350fe897d
CVE-2022-27943	pkg:deb/debian/libasan8@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=588f1d72fd42e121&upstream=gcc-12
CVE-2022-27943	pkg:deb/debian/libatomic1@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=8ae9365ce7a26f63&upstream=gcc-12
CVE-2022-27943	pkg:deb/debian/libcc1-0@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=e030001af4af8a54&upstream=gcc-12
CVE-2022-27943	pkg:deb/debian/libgcc-12-dev@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=46c715b2383b94a6&upstream=gcc-12
CVE-2022-27943	pkg:deb/debian/libgcc-s1@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=f34a6c9eeba92c05&upstream=gcc-12
CVE-2022-27943	pkg:deb/debian/libgomp1@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=04ffb91a594718a3&upstream=gcc-12
CVE-2022-27943	pkg:deb/debian/libitm1@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=9579721d3073dea4&upstream=gcc-12
CVE-2022-27943	pkg:deb/debian/liblsan0@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=2717998825e5d420&upstream=gcc-12
CVE-2022-27943	pkg:deb/debian/libquadmath0@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=0386de411df4c929&upstream=gcc-12
CVE-2022-27943	pkg:deb/debian/libstdc%2B%2B-12-dev@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=eefe5f807560527f&upstream=gcc-12
CVE-2022-27943	pkg:deb/debian/libstdc%2B%2B6@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=6c755f621b3d6c49&upstream=gcc-12
CVE-2022-27943	pkg:deb/debian/libtsan2@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=b0763711c23026f8&upstream=gcc-12
CVE-2022-27943	pkg:deb/debian/libubsan1@12.2.0-14%2Bdeb12u1?arch=amd64&distro=debian-12&package-id=c9bf42e78c16b99e&upstream=gcc-12
